,representation,model,accuracy,precision_macro,recall_macro,f1_macro,specificity,test_size,train_size,auc
0,tfidf,rf,0.7955555555555556,0.7955555555555556,0.7970577140701622,0.7952967702379304,0.7759336099585062,0.3,0.7,0.8685302467787727
1,tfidf,lr,0.7866666666666666,0.7885714285714286,0.7820724786630323,0.7835497835497836,0.84472049689441,0.2,0.8,0.8766700924974307
2,tfidf,knn,0.7833333333333333,0.7962962962962963,0.7745430984405023,0.7763530639630236,0.8944099378881988,0.2,0.8,0.8749720720318155
3,ngrams,rf,0.5577777777777778,0.7738636363636364,0.5239234449760766,0.3995534367268119,1.0,0.3,0.7,0.5687526057694217
4,ngrams,lr,0.57,0.7775862068965518,0.5359712230215827,0.42409857289543,1.0,0.2,0.8,0.5799857008802896
5,ngrams,knn,0.5466666666666666,0.5527272727272727,0.516198221546986,0.429402550906243,0.9316770186335404,0.2,0.8,0.5552303498815854
6,all,rf,0.7911111111111111,0.7998490850782871,0.7840139768508407,0.7859311740890689,0.8838174273858921,0.3,0.7,0.8826361452480692
7,all,lr,0.8066666666666666,0.8169040745823671,0.7992314223155637,0.8015873015873016,0.9006211180124224,0.2,0.8,0.9118369900353009
8,all,knn,0.77,0.7818287037037037,0.7611376737119622,0.7625901755915174,0.8819875776397516,0.2,0.8,0.8910585817060637
9,word2vec,rf,0.8133333333333334,0.8141779788838612,0.8101610117334075,0.8113621846055574,0.8547717842323651,0.3,0.7,0.8756874267902878
10,word2vec,lr,0.82,0.8208616780045351,0.8224674918450333,0.8198719089130049,0.7888198757763976,0.2,0.8,0.8982975110594753
11,word2vec,knn,0.8366666666666667,0.8377828054298643,0.833571651995174,0.8349038061972843,0.8757763975155279,0.2,0.8,0.9025425622235131
