user_id,tweet_id,tweet_text,class,tweet_text_clean
user0001,0d3ed29586ce,Cheesecake saludable sin azúcar y sin lactosa  con mermerlada casera de moras,control,cheesecakir saludable azúcar lactós mermerlado caserar moras
user0002,c3cf897a495b,"ser como ellas ♡♡
  #HastaLosHuesos",anorexia,ser
user0003,5041d85c45c6,"Comida Real o , la clave para estar más sana, delgada y feliz 

https://www.modalia.es/estilo-de-vida/15192-comida-real-o-real-food-la-clave-para-estar-mas-sana-delgada-y-feliz.html …",control,comida real clave sano delgado feliz
user0004,d18285d3c7ec,"Entre el cambio de hora y la bajada de las #temperaturas  estamos destemplados, por eso os recomendamos un buen plato de #fabada #casera  para entonar el cuerpo   #decasa #platoscuchara  #madridrio #gastro #arganzuela",control,cambio hora bajado destemplado recomendamos buen plato entonar cuerpo
user0005,4d81892f3217,Hace mucho tiempo no sentía mi cuerpo tan frío,anorexia,hacer tiempo sentir cuerpo tanto frío
user0006,8beeb35e11de,Ser gorda esta mal,anorexia,ser gordo mal
user0007,a34963448596,"Si en un restaurante, la pretensión es el ingrediente principal del plato que pediste, mejor comete el pan.  #cocinardeverdadesotracosa",control,si restaurantar pretensión ingrediente principal plato pediste mejor comete pan
user0008,1ed5154df490,"Puaa increible, nose como permiten esas paginas de mierda que llenan la cabeza de bobadas  #diariode",control,puaa increible no él permitir pagina mierdo llenar cabeza bobada
user0009,99c105ae2f12,"Perder una batalla, no significa que la guerra este perdida, cada día es una batalla, nuestras metas son la victoria.",anorexia,perder batalla significar guerra perdido cada día batalla meta victoria
user0010,18c237db6f53,"Cuando la ley no responde  nuestras elecciones hacen el cambio. Come local y sustentable, respetando la vida de los seres que serán tu comida.  #somosloquecomemos #somosloqueelegimos",control,ley responder elección hacer cambio come local sustentable respetar vida ser comida
user0011,02c4086ec8e3,Quisiera pasar todas las vacaciones asi   #thin #thinspiration  #thinsgap #thinspo #legs #perfect #outfit,anorexia,querer pasar todo vacación asi
user0012,194c855a0ff5,"Hoy en el #asaltablog hemos robado a Mel de @migasenlamesa estas fantásticas Aloo Parathas Integrales.
Típicas d la cocina India las hemos convertido en el complemento perfecto de una cena sana, sabrosa y deliciosa
 #recipes",control,hoy robado mel migasenlamesar fantástico aloo paratha integral típico d cocina indio convertido complemento perfecto cena sano sabroso deliciós
user0013,5301def06867,Estoy como para saltearme el almuerzo,anorexia,saltear yo almuerzo
user0014,da4a678f2693,Estoy cansada de estar pérdida.   #Anorexia #Bulimia,anorexia,cansado pérdida
user0015,af6077c20b97,"Los huesos que se me notan, son la copa, la medalla, por haberte ganado la batalla.
.",anorexia,hueso notar copa medalla habertar ganar batalla
user0016,95f0866200e2,"Norex Anfepromona un potente medicamento para dejar de comer en exceso
ADELGAZA SIN HAMBRE
#TusClásicos #SabadoDeGanarSeguidores #EsPuenteYTodos #bellezasuperior
#TwitterBestFandom
#SoompiAwards
#ConvoyVL19
#20anosVL19 #Tampico #Dieta #Obesidad #Madero #Tamaulipas #Fit",control,norex anfepromonar potente medicamento dejar comer exceso adelgazar hambre
user0017,7bc01e182024,Cambiar la comida por el alcohol,anorexia,cambiar comida alcohol
user0018,121b9bdab738,"Flipo!! Pero porqué en vez de dejar de buscar cosas guarras sin gluten, no empiezan a comer  ? Abandonar los #ultraprocesados y la #bolleria ayudaría bastante... digo yo #equipogluten.",control,flipo porqué vez dejar buscar cosa guarra glutir empezar comer abandonar ayudar bastante decir
user0019,97cad7c82a89,Voy a dejar esta foto aquí y cada que quiera comer antojos recordaré que tengo que cenar maldito atún en agua y que cada antojo se convierte en mas cenas de atún con agua... … https://www.instagram.com/p/BvTABgSDMCI/?utm_source=ig_twitter_share&igshid=aan8lerwcbwl …,control,ir dejar foto aquí cada quiera comer antojo recordar cenar maldito atún agua cada antojo convertir mas cena atún agua
user0020,77f9d345b278,El desafío de flexiones de brazos que dura 10 minutos http://ow.ly/hht250nwXjb   #entrenamiento #workout #FelizMartes,control,desafío flexión brazo duro minuto
