class,tweet_id,tweet_text_clean,word2vec_0,word2vec_1,word2vec_2,word2vec_3,word2vec_4,word2vec_5,word2vec_6,word2vec_7,word2vec_8,word2vec_9,word2vec_10,word2vec_11,word2vec_12,word2vec_13,word2vec_14,word2vec_15,word2vec_16,word2vec_17,word2vec_18,word2vec_19,word2vec_20,word2vec_21,word2vec_22,word2vec_23,word2vec_24,word2vec_25,word2vec_26,word2vec_27,word2vec_28,word2vec_29,word2vec_30,word2vec_31,word2vec_32,word2vec_33,word2vec_34,word2vec_35,word2vec_36,word2vec_37,word2vec_38,word2vec_39,word2vec_40,word2vec_41,word2vec_42,word2vec_43,word2vec_44,word2vec_45,word2vec_46,word2vec_47,word2vec_48,word2vec_49
control,0d3ed29586ce,cheesecak salud azuc lactos mermerl caser mor,0.045350697,-0.67131144,0.28771797,0.3787596,-0.22429647,0.5469524,0.99136156,0.5506473,-0.26145095,-0.8509274,0.50640905,-0.93648285,-0.04992705,0.44636655,-0.79101187,-0.3630371,-0.042162143,0.029168854,-0.77862376,0.4312953,0.7518004,-0.13632426,0.86064106,0.075088896,0.40374467,0.15349187,-0.01569354,-0.10976989,-0.7274068,0.8230004,-0.2177743,0.414434,0.11328018,0.7886272,-0.2641322,0.6528414,-0.102223195,0.010771172,0.26908824,-0.4773595,0.9181772,-0.57495606,-0.24982299,-0.15439264,0.17231607,0.44406918,-0.5377602,-0.1276214,-0.04463802,0.26226518
anorexia,c3cf897a495b,ser,-0.060403753,0.12106917,-0.6936786,-0.13177752,-0.3719566,-0.011906138,0.1533483,0.70195425,-0.12835936,0.17399044,-0.16710237,-0.32898265,0.27585557,0.118969224,0.08620939,0.04004355,-0.07560515,0.9932258,0.019158078,-0.6986532,0.6604068,-0.11887352,-0.09265006,0.0639884,0.76466095,-0.30769786,-0.22121148,0.7521136,-0.81430715,0.12063813,-0.05775354,0.42362154,-0.21814819,0.45726618,-0.15031007,-0.18278646,0.46254498,0.13038133,-0.08021664,-0.6958834,-0.12218826,-0.38749033,0.16957997,-0.5233386,1.4880236,0.1045262,-0.29664606,-0.73026377,-0.0061605307,-0.401046
control,5041d85c45c6,com real clav san delg feliz,0.0073117116,0.173289,0.11552248,0.038551945,-0.31451657,-0.11086917,1.0568575,0.54854435,-0.8011749,0.033776134,0.28996983,-0.7007615,0.2867014,0.3949875,-0.3530028,0.5426442,0.1530001,0.9945167,0.015800528,-0.3441427,0.707151,-0.36432838,0.56702316,-0.5050996,0.040569957,0.41012868,-0.16720587,0.1802013,-0.9815554,-0.02732643,-0.13591295,-0.7502151,-0.06464986,-0.07334961,-0.2841083,0.64765954,-0.018646756,-0.36561167,-0.6555668,-0.6313162,0.40051052,0.12427572,0.26894644,-0.5535614,1.0120922,0.089088686,0.22181599,-0.11382204,0.21863954,-0.42415008
control,d18285d3c7ec,cambi hor baj destempl recomend buen plat enton cuerp,-0.12315873,-0.22101158,-0.28061327,0.065353744,-0.270054,-0.71411514,0.30083707,0.6304539,-0.42372352,-0.21166706,-0.4645016,-0.52790856,1.0077367,-0.038743906,-0.6962916,0.09594287,0.3915616,0.4513784,-0.7805987,-0.107623495,-0.008958891,0.30422273,0.77883375,0.22813013,-0.50017554,0.242438,0.044960108,-0.054785755,-1.0281103,0.32121146,0.63607144,-0.2225429,0.00799889,-0.113457054,0.1276159,-0.05160882,-0.03841615,0.33511686,-0.52360636,-0.8701236,0.5027373,-0.4244489,-0.5881729,-0.4946153,0.69325507,0.0906745,0.12181865,-0.04134182,0.40685004,-0.36095983
anorexia,4d81892f3217,hac tiemp sent cuerp tan fri,-0.0066125593,-0.260576,-0.35221195,-0.14814644,0.16074616,-0.2929817,0.5692144,0.6174708,-0.44483772,-0.2932293,-0.04576272,-0.6157955,0.72419786,0.25902578,-0.03291568,-0.018505871,0.0345262,0.06791224,-0.47957525,-0.80296427,-0.24025945,-0.34446725,0.93393964,-0.26675814,-0.41571817,0.29078454,-0.008201361,-0.027029356,-0.44967005,0.0998921,-0.9371247,0.06356696,-0.049747456,-0.56168896,0.24062014,0.45027938,0.04867195,0.35816947,-0.26141334,-0.85114104,0.62518483,0.23431166,0.16720486,-0.17336287,1.0083667,-0.19834585,0.52516097,-0.8389968,0.11487054,-0.092417486
anorexia,8beeb35e11de,ser gord mal,-0.19003911,0.31635472,-0.4394854,-0.016144255,-0.19765754,0.6024812,-0.011574234,0.2307096,-0.31004003,0.05919901,0.22326954,-0.1234825,0.37889066,0.38242343,-0.23311795,0.13782205,0.020463785,0.7546644,-0.5538939,-0.9169922,0.55891544,0.21075685,0.7530889,-0.24928974,0.614976,0.23718046,-0.3370062,0.5402003,-0.9918148,-0.064872704,0.06776449,0.111084364,-0.41353223,-0.41473067,-0.40421644,-0.01453058,1.1265057,0.32526577,-0.6038714,-0.5920882,0.6167117,0.2677512,0.37297443,-0.6111719,0.56887394,0.4707936,-0.27742848,-0.9825662,0.124305844,-0.28960857
control,a34963448596,si restaur pretension ingredient principal plat ped mejor comet pan,-0.12542734,-0.7597431,-0.2666764,-0.18008725,-0.73996335,-0.7230409,0.018689293,0.60461235,-1.1921129,-0.5747225,-0.14478062,-0.027540412,0.114828445,-0.5903536,-0.2858683,0.2965328,0.4404757,0.18953642,-0.51651466,-0.33905488,0.53414,-0.120985925,0.790589,0.16205734,0.2044295,-0.011080319,0.7833772,-0.17294255,-0.92628634,-0.013426128,0.2464954,0.019593017,0.06597568,0.3875308,0.059177984,0.25237966,-0.029385602,-0.13690093,-0.35146695,-0.852204,0.5217736,-0.14697674,-0.28493434,0.106658936,0.93946683,-0.010961413,-0.026583174,-0.1326919,0.25706095,-0.06933949
control,1ed5154df490,pua increibl nos permit pagin mierd llen cabez bob,-0.29583845,-0.12606083,-0.18780361,-0.33516118,0.31728178,0.5238225,0.37665805,0.57112426,0.03445959,0.110467345,-1.0731175,-0.47203732,0.20618223,0.5670872,-0.42352656,-0.120931536,0.039666202,0.031569872,-1.0860924,-0.9492934,-0.20503241,0.2653593,1.1443982,0.056719024,-0.14028403,0.05104528,-0.5927334,-0.39547503,-1.2331145,0.36519304,0.23577759,-0.6987926,-0.20634328,0.32028103,-0.851964,0.39257467,0.37191465,-0.8576328,-0.54731107,-1.2909921,0.06432962,0.053792015,0.3681804,-0.06533107,0.5418521,-0.19660957,-0.2718886,-0.7874452,0.2700809,-0.50350183
anorexia,99c105ae2f12,perd batall signif guerr perd cad dia batall met victori,-0.3397519,0.18254967,-0.32409492,0.3932249,-0.26077133,-0.2148046,-0.03287255,0.6770285,-0.6732351,-0.4966146,-0.14498726,-0.64157796,0.81918955,0.6649367,-0.69890547,0.89800453,0.61366296,0.707065,-0.9683396,0.5778589,0.053861845,0.44716224,-0.1891646,0.23447704,0.15517038,0.38858148,-0.7282437,-0.43722492,-1.36082,-0.15148537,-0.6615139,-0.24392422,-0.026438355,0.15832673,-1.0063274,-0.19675611,0.096518666,-0.11145602,-0.17065291,-0.41277647,0.6647247,-0.009765221,-0.0611049,-0.30196625,1.0045983,0.34287196,-0.061053097,-0.25307328,0.51585925,-0.17730352
control,18c237db6f53,ley respond eleccion hac cambi com local sustent respet vid ser com,0.038255006,0.1741324,0.24356025,0.19279517,-0.16472463,0.002301979,0.36533692,0.98981,-0.28081346,0.11442557,-0.09289984,-0.44439626,0.4148294,0.049182862,-0.54261535,-0.24719264,-0.07883126,0.33461264,-0.581568,-0.16734906,-0.12043051,0.30741233,0.5437539,-0.20916142,0.111309715,0.12265808,0.027649255,0.13873735,-0.44700113,0.1809774,0.2610136,-0.73068744,-0.17364113,0.10532706,-0.26236522,-0.04917528,0.035173737,-0.281202,-0.24250603,-0.48769894,0.2726871,-0.09397016,-0.3201608,-0.49498656,1.081669,0.54707396,0.0942123,-0.5493503,0.1156966,0.0017767847
