representation,n_neighbors,accuracy,precision_macro,recall_macro,f1_macro,specificity
tfidf,1,0.75,0.7489316239316239,0.7498771169399884,0.7491946361092843,0.7515527950310559
tfidf,2,0.75,0.7489316239316239,0.7498771169399884,0.7491946361092843,0.7515527950310559
tfidf,3,0.7566666666666667,0.7563348416289593,0.7531391036239331,0.7540403643347298,0.8012422360248447
tfidf,5,0.7766666666666666,0.7772529069767442,0.772755708476697,0.7739312346053919,0.8260869565217391
tfidf,7,0.79,0.7924303519061584,0.7851780687251442,0.7867563267931085,0.8509316770186336
tfidf,9,0.7866666666666666,0.7941245593419506,0.7796148174627999,0.7815301988985481,0.8757763975155279
tfidf,11,0.7966666666666666,0.805461233729485,0.7894231198891819,0.7915503867139,0.8881987577639752
tfidf,15,0.7833333333333333,0.7962962962962963,0.7745430984405023,0.7763530639630236,0.8944099378881988
tfidf,21,0.7766666666666666,0.7909453413732737,0.7673488538361857,0.7688991089393504,0.8944099378881988
ngrams,1,0.6266666666666667,0.6688325752653238,0.6044952857589705,0.5756718528995757,0.906832298136646
ngrams,2,0.5766666666666667,0.6669391759319816,0.5456231288261316,0.460943137282644,0.968944099378882
ngrams,3,0.54,0.5280148423005566,0.5168684927834131,0.4743791579909603,0.8322981366459627
ngrams,5,0.52,0.49809121961020697,0.4987264846507887,0.46265983382257825,0.7888198757763976
ngrams,7,0.52,0.49555988737275286,0.49725188793064923,0.45443523944231157,0.8074534161490683
ngrams,9,0.52,0.4946196660482375,0.4967603556906028,0.45152607790361077,0.8136645962732919
ngrams,11,0.5366666666666666,0.5206766917293233,0.50835604808079,0.43550242991160265,0.8944099378881988
ngrams,15,0.5466666666666666,0.5527272727272727,0.516198221546986,0.429402550906243,0.9316770186335404
ngrams,21,0.54,0.5368421052631579,0.5070378479824836,0.39723953176867977,0.9565217391304348
word2vec,1,0.7666666666666667,0.7654050672505475,0.7654050672505475,0.7654050672505475,0.782608695652174
word2vec,2,0.7666666666666667,0.7654050672505475,0.7654050672505475,0.7654050672505475,0.782608695652174
word2vec,3,0.81,0.8092718794835008,0.8082353992582332,0.8086713286713287,0.8322981366459627
word2vec,5,0.81,0.8089285714285714,0.8092184637383262,0.8090644156366193,0.8198757763975155
word2vec,7,0.83,0.8290178571428571,0.8293266008311364,0.8291628982011858,0.8385093167701864
word2vec,9,0.8133333333333334,0.8123240538004379,0.8123240538004379,0.8123240538004379,0.8260869565217391
word2vec,11,0.83,0.8291733762748255,0.8288350685910899,0.8289948698460954,0.84472049689441
word2vec,15,0.8366666666666667,0.8377828054298643,0.833571651995174,0.8349038061972843,0.8757763975155279
word2vec,21,0.8333333333333334,0.832996632996633,0.8314491264131552,0.832072007523174,0.8571428571428571
all,1,0.75,0.7486580783682233,0.748402520219849,0.7485218674207286,0.7701863354037267
all,2,0.75,0.7486580783682233,0.748402520219849,0.7485218674207286,0.7701863354037267
all,3,0.75,0.7519340578375391,0.7444702622994772,0.7457023700539112,0.8198757763975155
all,5,0.7933333333333333,0.7963345735152267,0.7882836587872559,0.7899634129816162,0.8571428571428571
all,7,0.7833333333333333,0.7864708049364524,0.7779838241208276,0.7796087207133896,0.8509316770186336
all,9,0.8266666666666667,0.8319867029872109,0.8213056883685599,0.8235294117647058,0.8944099378881988
all,11,0.8133333333333334,0.820793050301247,0.8069171991599267,0.8092296511627908,0.8944099378881988
all,15,0.77,0.7818287037037037,0.7611376737119622,0.7625901755915174,0.8819875776397516
all,21,0.7833333333333333,0.798239642092978,0.7740515662004558,0.7757976430008624,0.9006211180124224
