==================================================
REPORTE DE EVALUACIÓN - ROBERTUITO FINETUNED
Fecha y Hora: 2026-06-08 21:11:11
==================================================

eval_loss                     : 0.2763
eval_accuracy                 : 0.8917
eval_f1                       : 0.9054
eval_precision                : 0.8521
eval_recall                   : 0.9658
eval_specificity              : 0.8058
eval_auc                      : 0.9595
eval_runtime                  : 1.9585
eval_samples_per_second       : 306.355
eval_steps_per_second         : 9.701
epoch                         : 4.0000

==================================================
