class,tweet_id,tweet_text_clean,word2vec_0,word2vec_1,word2vec_2,word2vec_3,word2vec_4,word2vec_5,word2vec_6,word2vec_7,word2vec_8,word2vec_9,word2vec_10,word2vec_11,word2vec_12,word2vec_13,word2vec_14,word2vec_15,word2vec_16,word2vec_17,word2vec_18,word2vec_19,word2vec_20,word2vec_21,word2vec_22,word2vec_23,word2vec_24,word2vec_25,word2vec_26,word2vec_27,word2vec_28,word2vec_29,word2vec_30,word2vec_31,word2vec_32,word2vec_33,word2vec_34,word2vec_35,word2vec_36,word2vec_37,word2vec_38,word2vec_39,word2vec_40,word2vec_41,word2vec_42,word2vec_43,word2vec_44,word2vec_45,word2vec_46,word2vec_47,word2vec_48,word2vec_49
control,0d3ed29586ce,cheesecak salud azuc lactos mermerl caser mor,0.096671864,-0.65831417,0.29530096,0.39199367,-0.20144281,0.55172014,1.0165564,0.5644434,-0.28129512,-0.81698644,0.49222353,-0.9268552,-0.09993489,0.4342957,-0.79007083,-0.3610435,-0.05384068,0.029568907,-0.78105205,0.41740528,0.7557713,-0.1358502,0.8732764,0.092597246,0.41430452,0.14090942,-0.029008653,-0.11748744,-0.7300452,0.7970969,-0.22096904,0.45057124,0.111314766,0.782512,-0.2384292,0.63935995,-0.11225385,0.028499288,0.29036513,-0.46732977,0.90137374,-0.56320405,-0.24311693,-0.14500742,0.19701649,0.4801351,-0.55588657,-0.1200584,-0.06538098,0.31349114
anorexia,c3cf897a495b,ser,-0.021261511,0.1296345,-0.66833365,-0.14948286,-0.40197697,0.005275923,0.16090494,0.697987,-0.0971661,0.16953652,-0.18900704,-0.33670324,0.25509602,0.1386022,0.10688978,0.014253002,-0.026399095,0.9755581,0.009623169,-0.6911389,0.6317552,-0.13502088,-0.092049815,0.080433324,0.74645436,-0.29310697,-0.1820711,0.724335,-0.77428555,0.119035915,-0.029113255,0.42989752,-0.22884053,0.43496132,-0.12294875,-0.22707345,0.4482162,0.15357521,-0.10718283,-0.74028087,-0.087244555,-0.37591997,0.20667501,-0.53086656,1.5270096,0.10750412,-0.32986394,-0.7430518,0.01048282,-0.37359014
control,5041d85c45c6,com real clav san delg feliz,0.0036711097,0.1769102,0.14211646,0.032787424,-0.33007047,-0.118296064,1.0796052,0.5536881,-0.7845866,0.010714613,0.27752754,-0.6919985,0.2958515,0.39931175,-0.35874608,0.5258145,0.15004389,0.98870134,-0.008137015,-0.34984946,0.704087,-0.3545371,0.5887646,-0.48720956,0.03599454,0.38520694,-0.16049466,0.17224787,-0.9524918,-0.04433097,-0.09664733,-0.7585686,-0.0832626,-0.080056,-0.3080435,0.65234095,-0.00899931,-0.34342837,-0.64412355,-0.6412234,0.42884627,0.13396007,0.26389775,-0.55129695,1.0337214,0.07584215,0.21274875,-0.120178305,0.24991767,-0.39991292
control,d18285d3c7ec,cambi hor baj destempl recomend buen plat enton cuerp,-0.10873126,-0.21947992,-0.2559034,0.08066067,-0.25554597,-0.73221195,0.31698352,0.6483856,-0.42989308,-0.20570421,-0.4733085,-0.53928155,0.99552166,-0.049530122,-0.6810902,0.0868791,0.3509862,0.40921322,-0.8038542,-0.1146849,-0.010842187,0.33017993,0.7849992,0.22241521,-0.5091388,0.1958363,0.03466285,-0.08733886,-1.0353624,0.30524036,0.6823836,-0.1937955,0.0037282142,-0.13304226,0.101867326,-0.03164086,-0.030840924,0.36471748,-0.49940693,-0.8492562,0.5110093,-0.4390104,-0.5825393,-0.46701568,0.7213873,0.114230305,0.11658582,-0.043833483,0.38469627,-0.32245147
anorexia,4d81892f3217,hac tiemp sent cuerp tan fri,0.008689522,-0.25255075,-0.3338039,-0.14631402,0.16852963,-0.29288766,0.58478636,0.6262158,-0.4484112,-0.29264462,-0.061905127,-0.6320981,0.70058227,0.2524641,-0.028659493,-0.021363443,0.026265502,0.06967955,-0.5073083,-0.79860115,-0.2313598,-0.32388124,0.952269,-0.27224308,-0.42821908,0.27874693,-0.016441166,-0.032401584,-0.44814757,0.07535094,-0.9297553,0.08576778,-0.05804029,-0.5722664,0.23894036,0.45140076,0.059756596,0.3674003,-0.25785807,-0.829784,0.6204856,0.22369982,0.16437905,-0.15821926,1.0208833,-0.19762576,0.5184282,-0.8486843,0.11562684,-0.07789066
anorexia,8beeb35e11de,ser gord mal,-0.1653006,0.31216696,-0.43216577,-0.01813499,-0.22162606,0.60583633,-0.012346168,0.23824446,-0.31227458,0.040974155,0.21073568,-0.09703481,0.36595276,0.4107686,-0.21889205,0.12662363,0.023078352,0.73730165,-0.565584,-0.92484635,0.5747058,0.22740585,0.7407472,-0.25804394,0.604314,0.24473584,-0.3336765,0.5209091,-0.97285587,-0.049747054,0.0969404,0.11429275,-0.40239835,-0.42526817,-0.3871201,-0.01349022,1.1337376,0.36318314,-0.5823173,-0.6088594,0.63352233,0.26911783,0.3668599,-0.6152361,0.5964314,0.48535943,-0.29299378,-0.9728999,0.14710167,-0.27415147
control,a34963448596,si restaur pretension ingredient principal plat ped mejor comet pan,-0.11423991,-0.7512425,-0.24288884,-0.17892605,-0.73745584,-0.7323041,0.020109136,0.6303551,-1.1967051,-0.5607597,-0.15052576,-0.05158075,0.10195329,-0.60145247,-0.29416642,0.29301518,0.4248089,0.17683125,-0.54574496,-0.34318352,0.50874573,-0.11569979,0.804745,0.16436815,0.21787992,-0.044009127,0.7864914,-0.1868492,-0.929376,-0.044769496,0.26452813,0.03914934,0.06179015,0.36599874,0.04913623,0.2564976,-0.04473545,-0.12275068,-0.3406434,-0.828169,0.5117899,-0.13807866,-0.28018993,0.13140829,0.9427902,-0.004454377,-0.036526,-0.14024076,0.23770809,-0.037299562
control,1ed5154df490,pua increibl nos permit pagin mierd llen cabez bob,-0.26832402,-0.10991971,-0.16984615,-0.32205376,0.34152076,0.51336765,0.3608323,0.56622094,0.003794743,0.12558079,-1.0916467,-0.4416489,0.16505776,0.57430804,-0.41835397,-0.12405136,0.0053184414,0.024687208,-1.1076491,-0.9477269,-0.19133224,0.28820497,1.1576211,0.040249005,-0.12442096,-0.0088939,-0.619141,-0.41953132,-1.2542833,0.37632143,0.2361939,-0.65952957,-0.18494032,0.32196018,-0.85862714,0.41465038,0.37239525,-0.81665665,-0.52147114,-1.2837912,0.07703797,0.02284719,0.37554294,-0.06081048,0.5655992,-0.17648807,-0.26474303,-0.80550647,0.2537715,-0.45545614
anorexia,99c105ae2f12,perd batall signif guerr perd cad dia batall met victori,-0.3389267,0.18168089,-0.29573512,0.43333822,-0.24542041,-0.2264183,-0.012015191,0.68793213,-0.6834081,-0.47631755,-0.163434,-0.66336715,0.8082572,0.6353694,-0.6644502,0.88922775,0.58490384,0.70640886,-1.016242,0.57550097,0.044847302,0.47765717,-0.17591721,0.19690067,0.14256418,0.3472432,-0.7183879,-0.44935465,-1.3862393,-0.1713072,-0.62251616,-0.21175237,-0.037607767,0.14610615,-1.0131068,-0.20340069,0.09147962,-0.10088666,-0.1763616,-0.3883384,0.682248,-0.041504066,-0.025507769,-0.28618008,1.006477,0.3423041,-0.057353236,-0.24709389,0.51333964,-0.17343558
control,18c237db6f53,ley respond eleccion hac cambi com local sustent respet vid ser com,0.039971087,0.18391438,0.2587786,0.18680118,-0.15729545,-0.002300187,0.36876562,0.99297506,-0.27371386,0.12938578,-0.111647926,-0.4537677,0.38212705,0.034885067,-0.52326435,-0.25942028,-0.08662838,0.330007,-0.59410036,-0.16359286,-0.1300631,0.31792206,0.5634361,-0.19960557,0.112197995,0.100289665,0.017730944,0.12147761,-0.44942155,0.14198197,0.26052433,-0.7132074,-0.17989092,0.09116977,-0.2568523,-0.05896725,0.021626696,-0.2639652,-0.2532623,-0.48110744,0.2770039,-0.094260685,-0.30917773,-0.4789183,1.094517,0.55814964,0.07780942,-0.55480474,0.100961864,0.025607942
